COMPANY_NAME,DISCHARGE_SITE_NAME,DISCHARGE_SITE_TYPE_CODE,DSI_TYPE_DESCRIPTION,ADD_OF_DISCHARGE_SITE_LINE_1,ADD_OF_DISCHARGE_SITE_LINE_2,ADD_OF_DISCHARGE_SITE_LINE_3,ADD_OF_DISCHARGE_SITE_LINE_4,ADD_OF_DISCHARGE_SITE_PCODE,DISTRICT_COUNCIL,DISCHARGE_NGR,CATC_NAME,CATCHMENT_CODE,EA_REGION,SOURCE,PERMIT_NUMBER,PERMIT_VERSION,RECEIVING_WATER,RECEIVING_ENVIRON_TYPE_CODE,REC_ENV_CODE_DESCRIPTION,ISSUED_DATE,EFFECTIVE_DATE,REVOCATION_DATE,STATUS_OF_PERMIT,STATUS_DESCRIPTION,OUTLET_NUMBER,OUTLET_TYPE_CODE,OUTLET_TYPE_DESCRIPTION,OUTLET_GRID_REF,EFFLUENT_NUMBER,EFFLUENT_TYPE,EFF_TYPE_DESCRIPTION,EFFLUENT_GRID_REF,DISCHARGE_EASTING,DISCHARGE_NORTHING,permit_pair
PHIPPS A MR,BARELEES FARM AND COTTAGES,A6,WwTW (not water co) (not STP at a private premises),CORNHILL ON TWEED,,,NORTHUMBERLAND,TD12 4SF,NORTHUMBERLAND UA,NT8744038590,,,NE,EA North East Region,210/1202,1,DUDDO BURN TRIB,1.0,Freshwater river,06/06/97 00:00:00,06/06/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT8717038690,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT8717038690,387440,638590,"('210/1202', 1)"
BOYD P MR,BARELEES FARM AND COTTAGES,A6,WwTW (not water co) (not STP at a private premises),CORNHILL ON TWEED,,,NORTHUMBERLAND,TD12 4SF,NORTHUMBERLAND UA,NT8744038590,,,NE,EA North East Region,210/1202,1,DUDDO BURN TRIB,1.0,Freshwater river,06/06/97 00:00:00,06/06/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT8717038690,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT8717038690,387440,638590,"('210/1202', 1)"
LEY P W MR,BARELEES FARM AND COTTAGES,A6,WwTW (not water co) (not STP at a private premises),CORNHILL ON TWEED,,,NORTHUMBERLAND,TD12 4SF,NORTHUMBERLAND UA,NT8744038590,,,NE,EA North East Region,210/1202,1,DUDDO BURN TRIB,1.0,Freshwater river,06/06/97 00:00:00,06/06/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT8717038690,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT8717038690,387440,638590,"('210/1202', 1)"
MR T H TODD,BARELEES FARM AND COTTAGES,A6,WwTW (not water co) (not STP at a private premises),CORNHILL ON TWEED,,,NORTHUMBERLAND,TD12 4SF,NORTHUMBERLAND UA,NT8744038590,,,NE,EA North East Region,210/1202,1,DUDDO BURN TRIB,1.0,Freshwater river,06/06/97 00:00:00,06/06/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT8717038690,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT8717038690,387440,638590,"('210/1202', 1)"
MR D GOLDSWORTHY,BARELEES FARM AND COTTAGES,A6,WwTW (not water co) (not STP at a private premises),CORNHILL ON TWEED,,,NORTHUMBERLAND,TD12 4SF,NORTHUMBERLAND UA,NT8744038590,,,NE,EA North East Region,210/1202,1,DUDDO BURN TRIB,1.0,Freshwater river,06/06/97 00:00:00,06/06/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT8717038690,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT8717038690,387440,638590,"('210/1202', 1)"
LOGAN P MR,BARELEES FARM AND COTTAGES,A6,WwTW (not water co) (not STP at a private premises),CORNHILL ON TWEED,,,NORTHUMBERLAND,TD12 4SF,NORTHUMBERLAND UA,NT8744038590,,,NE,EA North East Region,210/1202,1,DUDDO BURN TRIB,1.0,Freshwater river,06/06/97 00:00:00,06/06/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT8717038690,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT8717038690,387440,638590,"('210/1202', 1)"
"HOGG, MR JOHN",BARELEES FARM AND COTTAGES,A6,WwTW (not water co) (not STP at a private premises),CORNHILL ON TWEED,,,NORTHUMBERLAND,TD12 4SF,NORTHUMBERLAND UA,NT8744038590,,,NE,EA North East Region,210/1202,1,DUDDO BURN TRIB,1.0,Freshwater river,06/06/97 00:00:00,06/06/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT8717038690,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT8717038690,387440,638590,"('210/1202', 1)"
MR T H TODD,BARELEES FARM AND COTTAGES,A6,WwTW (not water co) (not STP at a private premises),CORNHILL ON TWEED,,,NORTHUMBERLAND,TD12 4SF,NORTHUMBERLAND UA,NT8744038590,,,NE,EA North East Region,210/1201,1,DUDDO BURN TRIB,1.0,Freshwater river,06/18/97 00:00:00,06/18/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT8717038690,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT8690038600,387440,638590,"('210/1201', 1)"
ROBERT HENRY DICKINSON AND ELISABETH  LADY JOICEY,HOWTEL KEEPERS COTTAGE,A0,Domestic property (single) (incl farm house),MILFIELD WOOLER,-,WOOLER,NORTHUMBERLAND,,NORTHUMBERLAND UA,NT8980034100,,,NE,EA North East Region,210/1183,1,BOWMONT WATER TRIB,1.0,Freshwater river,03/04/97 00:00:00,03/04/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT8980034100,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT8980034100,389800,634100,"('210/1183', 1)"
ROBERT HENRY DICKINSON AND ELISABETH  LADY JOICEY,HOWTEL KEEPERS COTTAGE,A0,Domestic property (single) (incl farm house),MILFIELD WOOLER,-,WOOLER,NORTHUMBERLAND,,NORTHUMBERLAND UA,NT8980034100,,,NE,EA North East Region,210/1184,1,BOWMONT WATER TRIB,1.0,Freshwater river,03/04/97 00:00:00,03/04/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT8980034100,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT8980034100,389800,634100,"('210/1184', 1)"
