PERMIT_REF,VERSION,DETE_CODE,row_count
***257,1,85,2
***257,1,135,2
***257,1,9285,2
***502,1,61,2
***502,1,135,2
***502,1,177,2
***502,1,1066,2
***502,1,6425,2
001229/PE/01,1,7444,2
001229/PE/01,1,8174,2
001812,1,61,4
001812,1,85,4
001812,1,111,4
001812,1,135,4
001812,1,748,4
001812,1,749,4
001812,1,3211,4
001812,1,6452,4
001812,1,9901,4
001812,2,61,4
001812,2,85,4
001812,2,111,4
001812,2,135,4
001812,2,9901,4
002027,7,3647,2
002027,8,3647,2
002491,1,3647,2
002491/FU/01,6,111,2
002491/FU/01,7,111,2
002659/PC/01,2,7444,2
002660/PC/01,2,7444,2
002674,1,7444,2
002675,2,7444,2
002728/FN/01,1,111,2
002728/FN/01,2,111,2
002728/FN/01,3,111,2
002728/FN/01,4,111,2
002728/FN/01,5,111,2
002728/FN/01,8,3647,2
002728/FN/01,9,3647,2
002728/FN/01,10,3647,2
002878,1,7444,4
002878,1,8174,2
002878,3,7444,4
002878,3,8174,2
002878,4,7444,4
002878,4,8174,2
002878,5,2928,2
002878,5,2932,2
002878,5,2933,2
002878,5,2934,2
002878,5,3647,2
002878,5,7444,4
002878,5,8174,2
003101/FN/01,7,3647,2
003101/FN/01,8,3647,2
003126/FN/01,9,3647,2
003126/FN/01,10,3647,2
003220/PC/01,2,7444,2
003224/PC/01,2,7444,2
003269,3,3647,2
003269,4,3647,2
003269,5,3647,2
003956/PC/01,3,7444,2
004296/TF/01,1,61,3
004296/TF/01,1,85,3
004296/TF/01,1,111,3
004296/TF/01,1,135,3
004296/TF/01,1,738,3
004296/TF/01,1,749,3
004296/TF/01,1,3211,3
004296/TF/01,1,6452,3
004296/TF/01,1,9901,3
004298/TF/01,1,61,2
004298/TF/01,1,85,2
004298/TF/01,1,111,2
004298/TF/01,1,738,2
004298/TF/01,1,749,2
004298/TF/01,1,3211,2
004298/TF/01,1,6452,2
004298/TF/01,1,9901,2
004298/TF/01,2,61,2
004298/TF/01,2,85,2
004298/TF/01,2,111,2
004298/TF/01,2,9901,2
004365/PC/01,2,7444,2
004369/PC/01,5,7444,2
004373,1,61,2
004373,1,85,2
004373,1,111,2
004373,1,135,2
004373,1,738,2
004373,1,749,2
004373,1,3211,2
004373,1,6452,2
004373,1,9901,2
004373,2,61,2
004373,2,85,2
004373,2,111,2
004373,2,135,2
004373,2,3527,2
004373,2,6425,2
004373,2,9901,2
004378/TF/01,1,61,2
004378/TF/01,1,85,2
004378/TF/01,1,111,2
004378/TF/01,1,135,2
004378/TF/01,1,738,2
004378/TF/01,1,749,2
004378/TF/01,1,3211,2
004378/TF/01,1,6452,2
004378/TF/01,1,9901,2
004378/TF/01,2,61,2
004378/TF/01,2,85,2
004378/TF/01,2,111,2
004378/TF/01,2,135,2
004378/TF/01,2,9901,2
004515/PC/01,2,7444,2
004517/PC/01,2,7444,2
004679,1,61,5
004679,1,85,5
004679,1,111,5
004679,1,135,5
004679,1,738,5
004679,1,749,5
004679,1,3211,5
004679,1,6452,5
004679,1,9901,5
004679,2,61,5
004679,2,85,5
004679,2,111,5
004679,2,135,5
004679,2,738,5
004679,2,749,5
004679,2,3211,5
004679,2,6452,5
004679,2,9901,5
004679,3,61,5
004679,3,85,5
004679,3,111,5
004679,3,135,5
004679,3,3527,5
004679,3,6425,5
004679,3,9901,5
010001,7,3647,2
010001,8,3647,2
010001,9,3647,2
010001,10,3647,2
010001,11,3647,2
010002,5,8174,2
010002,6,8174,2
010002,7,3647,2
010002,7,8174,2
010002,8,3647,2
010002,8,8174,2
010008,1,85,2
010008,1,135,2
010010,1,85,2
010010,1,135,2
010012,1,85,4
010012,1,111,4
010012,1,135,4
010017,1,85,2
010017,1,135,2
010028,1,85,2
010028,1,135,2
010031,1,85,2
010031,1,135,2
010031,2,85,2
010031,2,135,2
010031,3,85,2
010031,3,135,2
010031,4,85,2
010031,4,135,2
010031,5,85,2
010031,5,135,2
010031,6,85,2
010031,6,135,2
010033,1,85,2
010033,1,135,2
010034,1,85,2
010034,1,135,2
010034,2,85,2
010034,2,135,2
010034,3,85,2
010034,3,135,2
010034,4,85,2
010034,4,135,2
010034,5,85,2
010034,5,135,2
010034,5,8174,2
010036,1,85,2
010036,1,135,2
010039,1,85,2
010039,1,135,2
010039,2,85,2
010039,2,135,2
010039,3,85,2
010039,3,135,2
010039,4,85,2
010039,4,135,2
010039,5,85,2
010039,5,135,2
010039,6,85,2
010039,6,135,2
010039,7,85,2
010039,7,135,2
010039,7,3647,2
010039,8,85,2
010039,8,135,2
010039,8,3647,2
010046,1,85,2
010046,1,135,2
010053,1,85,2
010053,1,135,2
010053,2,85,2
010053,2,135,2
010053,3,85,2
010053,3,135,2
010053,4,85,2
010053,4,135,2
010053,6,85,2
010053,6,135,2
010056,1,85,2
010056,1,135,2
010056,2,85,2
010056,2,135,2
010059,1,85,2
010059,1,135,2
010059,2,85,2
010059,2,135,2
010059,3,85,2
010059,3,135,2
010059,4,85,2
010059,4,135,2
010063,1,135,2
010063,2,135,2
010063,3,135,2
010063,4,135,2
010063,6,3647,2
010063,7,3647,2
010063,8,3647,2
010065,1,85,2
010065,1,135,2
010068,1,85,2
010068,1,135,2
010071,1,85,2
010071,1,135,2
010071,6,85,2
010071,6,135,2
010075,1,85,2
010075,1,135,2
010080,1,85,2
010080,1,135,2
010080,2,85,2
010080,2,135,2
010080,3,85,2
010080,3,135,2
010080,4,85,2
010080,4,135,2
010080,5,85,2
010080,5,135,2
010080,6,85,2
010080,6,135,2
010080,7,85,2
010080,7,135,2
010080,7,3647,2
010080,8,85,2
010080,8,135,2
010080,8,3647,2
010081,1,85,2
010081,1,135,2
010084,1,85,4
010084,1,111,2
010084,1,135,4
010086,1,135,2
010092,8,3647,2
010093,1,85,2
010093,1,135,2
010098,1,85,2
010098,1,135,2
010100,1,85,2
010100,1,135,2
010156,7,3647,2
010156,8,3647,2
010185,1,61,4
010185,1,69,4
010185,1,85,4
010185,1,111,4
010185,1,135,4
010185,1,462,4
010185,1,738,4
010185,1,911,4
010185,1,979,2
010185,1,3211,2
010185,1,6396,4
010185,1,6452,2
010185,1,9901,4
010219,1,85,2
010219,1,135,2
010219,2,85,2
010219,2,135,2
010235,1,6425,2
010263,1,85,2
010263,1,135,2
010265,1,85,2
010265,1,135,2
010265,2,85,2
010265,2,135,2
010265,3,85,2
010265,3,135,2
010265,4,85,2
010265,4,135,2
010265,5,85,2
010265,5,135,2
010265,6,85,2
010265,6,135,2
010265,6,8174,2
010265,7,85,2
010265,7,135,2
010265,7,8174,2
010265,8,3647,2
010265,8,8174,2
010265,9,3647,2
010265,9,8174,2
010265,10,3647,2
010265,10,8174,2
010296,1,85,2
010296,1,135,2
010300,2,7444,2
010304,1,85,2
010304,1,135,2
010304,2,85,2
010304,2,135,2
010304,3,85,2
010304,3,135,2
010304,4,85,2
010304,4,135,2
010304,8,3647,2
010306,1,6425,2
010334,1,85,3
010334,1,111,2
010334,1,135,3
010334,2,85,3
010334,2,111,2
010334,2,135,3
010335,1,85,2
010335,1,135,2
010347,1,85,2
010347,1,135,2
010366,1,50,3
010366,1,61,3
010366,1,105,3
010366,1,108,3
010366,1,135,3
010366,1,499,3
010366,1,3164,3
010366,1,6046,3
010366,1,6452,3
010366,1,6455,3
010366,1,6462,3
010370,1,85,2
010370,1,111,2
010370,1,135,2
010370,1,6425,2
010437,1,85,2
010437,1,111,2
010437,1,135,2
010437,1,4883,2
010437,1,6425,2
010451,1,6425,2
010461,1,85,2
010461,1,111,2
010461,1,135,2
010461,1,6425,2
010461,2,85,2
010461,2,111,2
010461,2,135,2
010461,2,664,2
010461,2,6425,2
010481,1,3527,2
010481,1,4883,2
010516,1,85,2
010516,1,111,2
010516,1,135,2
010516,1,6425,2
010528,1,85,2
010528,1,135,2
010528,2,85,2
010528,2,135,2
010528,3,85,2
010528,3,135,2
010528,4,85,2
010528,4,135,2
010541,1,85,2
010541,1,135,2
010579,2,85,2
010579,2,111,2
010579,2,135,2
010579,2,664,2
010579,2,6425,2
010613,2,7444,2
010665,4,7444,2
010692,3,7444,4
010692,3,8174,2
010692,4,7444,4
010692,4,8174,2
010692,5,7444,4
010692,5,8174,2
010701,4,7444,2
010701,5,7444,2
011205,3,7444,2
011205,3,8174,2
011338,1,85,2
011338,1,135,2
011338,2,85,2
011338,2,135,2
011339,1,85,2
011339,1,135,2
011342,1,85,2
011342,1,135,2
011342,2,85,2
011342,2,135,2
011342,3,85,2
