EA_REGION,REGION,PERMIT_REF,VERSION,OUTLET_NUMBER,EFFLUENT_NUMBER,MONTH_FROM,MONTH_TO,CODE_1,VAL_1,CODE_2,VAL_2,CODE_3,VAL_3,DETE_CODE,UNITS,DETE,METHOD
SW,EA South West Region,041518,1,1,1,1,12,MAXIMUM VALUE,5.0,,,,,6396,NEPHELOMETRIC TURBIDITY UNITS,Turbidity,COMPARATIVE
SW,EA South West Region,041518,1,1,1,1,12,MAXIMUM VALUE,2.0,,,,,85,MILLIGRAM PER LITRE,BOD : 5 Day ATU,COMPARATIVE
SW,EA South West Region,041519,1,1,1,1,12,MAXIMUM VALUE,4.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",COMPARATIVE
SW,EA South West Region,401223,3,1,1,1,12,MAXIMUM VALUE,0.5,,,,,664,PRESENT/NOT FOUND,"Visible oil or grease, significant trace: Present/Not found (1/0)",ABSOLUTE
SW,EA South West Region,041519,1,1,1,1,12,MINIMUM VALUE,60.0,,,,,9901,PERCENTAGE,"Oxygen, Dissolved, % Saturation",ABSOLUTE
SW,EA South West Region,041353,6,1,1,1,12,95 PERCENTILE,20.0,,,,,85,MILLIGRAM PER LITRE,BOD : 5 Day ATU,ABSOLUTE
SW,EA South West Region,041353,6,1,1,1,12,95 PERCENTILE,4000.0,MAXIMUM VALUE,8000.0,,,6051,MICROGRAM PER LITRE,Iron,ABSOLUTE
SW,EA South West Region,402100,4,1,1,1,12,95 PERCENTILE,6.0,,,,,111,MILLIGRAM PER LITRE,Ammoniacal Nitrogen as N,ABSOLUTE
SW,EA South West Region,041519,1,2,1,1,12,MAXIMUM VALUE,4.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",COMPARATIVE
SW,EA South West Region,041519,1,2,1,1,12,MINIMUM VALUE,60.0,,,,,9901,PERCENTAGE,"Oxygen, Dissolved, % Saturation",ABSOLUTE
SW,EA South West Region,401521,2,1,1,1,12,MINIMUM VALUE,5.5,MAXIMUM VALUE,9.0,,,61,PH UNITS,pH,ABSOLUTE
SW,EA South West Region,040145,2,1,1,1,12,MAXIMUM VALUE,0.5,,,,,664,PRESENT/NOT FOUND,"Visible oil or grease, significant trace: Present/Not found (1/0)",ABSOLUTE
SW,EA South West Region,401050,5,1,1,1,12,95 PERCENTILE,15.0,MAXIMUM VALUE,50.0,,,85,MILLIGRAM PER LITRE,BOD : 5 Day ATU,ABSOLUTE
SW,EA South West Region,401056,2,1,1,1,12,MAXIMUM VALUE,0.5,,,,,664,PRESENT/NOT FOUND,"Visible oil or grease, significant trace: Present/Not found (1/0)",ABSOLUTE
SW,EA South West Region,041324,9,1,1,1,12,MAXIMUM VALUE,0.5,,,,,664,PRESENT/NOT FOUND,"Visible oil or grease, significant trace: Present/Not found (1/0)",ABSOLUTE
SW,EA South West Region,401059,2,2,2,1,12,MAXIMUM VALUE,75.0,,,,,6455,MICROGRAM PER LITRE,Zinc,ABSOLUTE
SW,EA South West Region,401056,2,1,1,1,12,MINIMUM VALUE,6.0,MAXIMUM VALUE,9.0,,,61,PH UNITS,pH,ABSOLUTE
SW,EA South West Region,400114/CF/01,2,2,2,1,12,MAXIMUM VALUE,20.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",ABSOLUTE
SW,EA South West Region,401056,2,3,3,1,12,MAXIMUM VALUE,20.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",ABSOLUTE
SW,EA South West Region,401521,2,1,1,1,12,MAXIMUM VALUE,0.5,,,,,664,PRESENT/NOT FOUND,"Visible oil or grease, significant trace: Present/Not found (1/0)",ABSOLUTE
SW,EA South West Region,040067,5,1,1,11,4,95 PERCENTILE,10.0,,,,,111,MILLIGRAM PER LITRE,Ammoniacal Nitrogen as N,ABSOLUTE
SW,EA South West Region,041444,1,1,1,1,12,MAXIMUM VALUE,20.0,,,,,85,MILLIGRAM PER LITRE,BOD : 5 Day ATU,ABSOLUTE
SW,EA South West Region,041444,1,1,1,1,12,MAXIMUM VALUE,20.0,,,,,111,MILLIGRAM PER LITRE,Ammoniacal Nitrogen as N,ABSOLUTE
SW,EA South West Region,041518,1,1,1,1,12,MAXIMUM VALUE,0.5,,,,,61,PH UNITS,pH,COMPARATIVE
SW,EA South West Region,041518,1,2,1,1,12,MAXIMUM VALUE,10.0,,,,,72,COLOUR,"Colour, Filtered",COMPARATIVE
SW,EA South West Region,041518,1,2,1,1,12,MAXIMUM VALUE,4.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",COMPARATIVE
SW,EA South West Region,041519,1,1,1,1,12,MAXIMUM VALUE,5.0,,,,,6396,NEPHELOMETRIC TURBIDITY UNITS,Turbidity,COMPARATIVE
SW,EA South West Region,402100,4,1,1,1,12,95 PERCENTILE,17.0,,,,,85,MILLIGRAM PER LITRE,BOD : 5 Day ATU,ABSOLUTE
SW,EA South West Region,EPRYB3197RR,2,1,1,1,12,MAXIMUM VALUE,20.0,,,,,6396,NEPHELOMETRIC TURBIDITY UNITS,Turbidity,ABSOLUTE
SW,EA South West Region,042116,4,1,2,1,12,95 PERCENTILE,10.0,,,,,111,MILLIGRAM PER LITRE,Ammoniacal Nitrogen as N,ABSOLUTE
SW,EA South West Region,043233,2,1,1,1,12,MAXIMUM VALUE,75.0,,,,,6455,MICROGRAM PER LITRE,Zinc,ABSOLUTE
SW,EA South West Region,043235,2,2,1,1,12,MAXIMUM VALUE,9.0,MINIMUM VALUE,6.0,,,61,PH UNITS,pH,ABSOLUTE
SW,EA South West Region,400114/CF/01,2,1,1,1,12,MAXIMUM VALUE,75.0,,,,,6455,MICROGRAM PER LITRE,Zinc,ABSOLUTE
SW,EA South West Region,401056,2,1,1,1,12,MAXIMUM VALUE,75.0,,,,,6455,MICROGRAM PER LITRE,Zinc,ABSOLUTE
SW,EA South West Region,042451,8,2b,1,1,12,MAXIMUM VALUE,56.0,95 PERCENTILE,20.0,,,85,MILLIGRAM PER LITRE,BOD : 5 Day ATU,ABSOLUTE
SW,EA South West Region,042451,8,2b,1,1,12,MAXIMUM VALUE,27.0,95 PERCENTILE,7.0,,,111,MILLIGRAM PER LITRE,Ammoniacal Nitrogen as N,ABSOLUTE
SW,EA South West Region,042451,8,1b,1,1,12,MAXIMUM VALUE,0.5,,,,,664,PRESENT/NOT FOUND,"Visible oil or grease, significant trace: Present/Not found (1/0)",ABSOLUTE
SW,EA South West Region,400607,7,1,1,1,12,95 PERCENTILE,20.0,,,,,85,MILLIGRAM PER LITRE,BOD : 5 Day ATU,ABSOLUTE
SW,EA South West Region,040067,5,1,1,5,10,95 PERCENTILE,5.0,,,,,111,MILLIGRAM PER LITRE,Ammoniacal Nitrogen as N,ABSOLUTE
SW,EA South West Region,040067,5,1,1,1,12,MEAN VALUE,4.0,,,,,348,MILLIGRAM PER LITRE,"Phosphorus, Total as P",ABSOLUTE
SW,EA South West Region,040067,5,1,1,1,12,MAXIMUM VALUE,1000.0,,,,,6057,MICROGRAM PER LITRE,Aluminium,ABSOLUTE
SW,EA South West Region,041518,1,1,1,1,12,MAXIMUM VALUE,10.0,,,,,72,COLOUR,"Colour, Filtered",COMPARATIVE
SW,EA South West Region,041518,1,2,1,1,12,MAXIMUM VALUE,5.0,,,,,6396,NEPHELOMETRIC TURBIDITY UNITS,Turbidity,COMPARATIVE
SW,EA South West Region,041518,1,2,1,1,12,MAXIMUM VALUE,0.3,,,,,111,MILLIGRAM PER LITRE,Ammoniacal Nitrogen as N,COMPARATIVE
