,EA_REGION,REGION,PERMIT_REF,VERSION,OUTLET_NUMBER,EFFLUENT_NUMBER,MONTH_FROM,MONTH_TO,CODE_1,VAL_1,CODE_2,VAL_2,CODE_3,VAL_3,DETE_CODE,UNITS,DETE,METHOD
0,SW,EA South West Region,041518,1,1,1,1,12,MAXIMUM VALUE,5.0,,,,,6396,NEPHELOMETRIC TURBIDITY UNITS,Turbidity,COMPARATIVE
1,SW,EA South West Region,041518,1,1,1,1,12,MAXIMUM VALUE,2.0,,,,,85,MILLIGRAM PER LITRE,BOD : 5 Day ATU,COMPARATIVE
2,SW,EA South West Region,041519,1,1,1,1,12,MAXIMUM VALUE,4.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",COMPARATIVE
3,SW,EA South West Region,401223,3,1,1,1,12,MAXIMUM VALUE,0.5,,,,,664,PRESENT/NOT FOUND,"Visible oil or grease, significant trace: Present/Not found (1/0)",ABSOLUTE
4,SW,EA South West Region,041519,1,1,1,1,12,MINIMUM VALUE,60.0,,,,,9901,PERCENTAGE,"Oxygen, Dissolved, % Saturation",ABSOLUTE
5,SW,EA South West Region,041353,6,1,1,1,12,95 PERCENTILE,20.0,,,,,85,MILLIGRAM PER LITRE,BOD : 5 Day ATU,ABSOLUTE
6,SW,EA South West Region,041353,6,1,1,1,12,95 PERCENTILE,4000.0,MAXIMUM VALUE,8000.0,,,6051,MICROGRAM PER LITRE,Iron,ABSOLUTE
7,SW,EA South West Region,402100,4,1,1,1,12,95 PERCENTILE,6.0,,,,,111,MILLIGRAM PER LITRE,Ammoniacal Nitrogen as N,ABSOLUTE
8,SW,EA South West Region,041519,1,2,1,1,12,MAXIMUM VALUE,4.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",COMPARATIVE
9,SW,EA South West Region,041519,1,2,1,1,12,MINIMUM VALUE,60.0,,,,,9901,PERCENTAGE,"Oxygen, Dissolved, % Saturation",ABSOLUTE
10,SW,EA South West Region,401521,2,1,1,1,12,MINIMUM VALUE,5.5,MAXIMUM VALUE,9.0,,,61,PH UNITS,pH,ABSOLUTE
11,SW,EA South West Region,040145,2,1,1,1,12,MAXIMUM VALUE,0.5,,,,,664,PRESENT/NOT FOUND,"Visible oil or grease, significant trace: Present/Not found (1/0)",ABSOLUTE
