samplingPoint.notation,samplingPoint.prefLabel,samplingPoint.easting,samplingPoint.northing,DISCHARGE_SITE_NAME_1,MATCH_CONFIDENCE_1,PERMIT_NUMBER_1,PERMIT_VERSION_1,DISCHARGE_EASTING_1,DISCHARGE_NORTHING_1,DISCHARGE_SITE_NAME_2,MATCH_CONFIDENCE_2,PERMIT_NUMBER_2,PERMIT_VERSION_2,DISCHARGE_EASTING_2,DISCHARGE_NORTHING_2,DISCHARGE_SITE_NAME_3,MATCH_CONFIDENCE_3,PERMIT_NUMBER_3,PERMIT_VERSION_3,DISCHARGE_EASTING_3,DISCHARGE_NORTHING_3,DISCHARGE_SITE_NAME_4,MATCH_CONFIDENCE_4,PERMIT_NUMBER_4,PERMIT_VERSION_4,DISCHARGE_EASTING_4,DISCHARGE_NORTHING_4
SW-50410150,PIDDLEHINTON STW FE,372161.634587172,96309.49385903485,PIDDLEHINTON STW,100.0,040067,5.0,372200.0,96400.0,,,,,,,,,,,,,,,,,,
SW-50440129,DODDINGS FARM WATERCRESS B2 BERE REGIS,385180.4355245184,93798.39070571568,DODDINGS FARM,100.0,043235,2.0,385220.0,93780.0,DODDINGS FARM,100.0,043236,2.0,385220.0,93780.0,,,,,,,,,,,,
SW-50540137,LOWER MAGISTON WATERCRESS FARM C,363527.4668885063,96073.7662505502,LOWER MAGISTON WATERCRESS FARM,100.0,401223,3.0,363480.0,96120.0,LOWER MAGISTON FISH FARM,88.37209302325581,040291,1.0,363490.0,96100.0,,,,,,,,,,,,
SW-50450167,PURBECK FISHERIES RACEWAY 1,388421.4509884944,88563.62551781812,PURBECK FISHERIES,100.0,041518,1.0,388440.0,88570.0,,,,,,,,,,,,,,,,,,
SW-50450165,PURBECK FISHERIES EARTHPONDS 2,388421.3515295348,88519.14507040638,PURBECK FISHERIES,100.0,041518,1.0,388440.0,88570.0,,,,,,,,,,,,,,,,,,
SW-50570239,DORCHESTER (LOUDS MILL) STW,370928.80827968667,90244.4570659489,DORCHESTER (LOUDS MILL) STW,100.0,401050,5.0,370900.0,90230.0,,,,,,,,,,,,,,,,,,
SW-50570390,TINCLETON EAST WATERCRESS BEDS 1,376668.7701126503,91716.8047638212,TINCLETON EAST WATERCRESS BEDS,100.0,401059,2.0,376690.0,91800.0,TINCLETON WEST WATERCRESS BEDS,93.54838709677419,401060,2.0,376660.0,91800.0,,,,,,,,,,,,
SW-50950147,BROWNSEA ISLAND SEWAGE TREATMENT WORKS (NATIONAL TRUST),402653.43803587847,87750.51954262654,BROWNSEA ISLAND SEWAGE WORKS,100.0,041444,1.0,402670.0,87780.0,,,,,,,,,,,,,,,,,,
SW-50900722,CORFE CASTLE STW,396136.9985480218,83125.46596114518,CORFE CASTLE STW,100.0,041324,9.0,396200.0,83050.0,,,,,,,,,,,,,,,,,,
SW-50550330,GODMANSTONE STW,366590.94824359193,96453.52464706809,GODMANSTONE STW,100.0,401521,2.0,366510.0,96500.0,,,,,,,,,,,,,,,,,,
SW-RSN1389,RSN1389 MILL HOUSE,377872.99077737343,99329.019684206,MILL HOUSE,100.0,EPRXB3136AW,1.0,377908.0,99261.0,,,,,,,,,,,,,,,,,,
SW-50440180,MILBORNE ST ANDREW WTW,380321.8331375791,98273.82350769595,MILBORNE ST ANDREW WTW,100.0,EPRYB3197RR,2.0,380376.0,98281.0,,,,,,,,,,,,,,,,,,
SW-C7019001,WARMWELL WATERCRESS FARM D,374932.060788876,87265.6262538479,WARMWELL WATERCRESS FARM,100.0,401056,2.0,374920.0,87270.0,,,,,,,,,,,,,,,,,,
SW-50570160,WADDOCK CROSS WATERCRESS C3,379728.6465789269,90792.10330777636,WADDOCK CROSS WATERCRESS BEDS,94.11764705882354,400114/CF/01,2.0,379801.0,90850.0,WADDOCK CROSS WATERCRESS BEDS,94.11764705882354,043260,2.0,379801.0,90850.0,,,,,,,,,,,,
