samplingPoint.notation,samplingPoint.prefLabel,DISCHARGE_SITE_NAME,MATCH_CONFIDENCE,PERMIT_NUMBER,PERMIT_VERSION
SW-50410150,PIDDLEHINTON STW FE,PIDDLEHINTON STW,100.0,040067,5.0
SW-50440129,DODDINGS FARM WATERCRESS B2 BERE REGIS,DODDINGS FARM,100.0,043235,2.0
SW-50540137,LOWER MAGISTON WATERCRESS FARM C,LOWER MAGISTON WATERCRESS FARM,100.0,401223,3.0
SW-50450167,PURBECK FISHERIES RACEWAY 1,PURBECK FISHERIES,100.0,041518,1.0
SW-50450165,PURBECK FISHERIES EARTHPONDS 2,PURBECK FISHERIES,100.0,041518,1.0
SW-50570239,DORCHESTER (LOUDS MILL) STW,DORCHESTER (LOUDS MILL) STW,100.0,401050,5.0
SW-50570390,TINCLETON EAST WATERCRESS BEDS 1,TINCLETON EAST WATERCRESS BEDS,100.0,401059,2.0
SW-50950147,BROWNSEA ISLAND SEWAGE TREATMENT WORKS (NATIONAL TRUST),BROWNSEA ISLAND SEWAGE WORKS,100.0,041444,1.0
SW-50900722,CORFE CASTLE STW,CORFE CASTLE STW,100.0,041324,9.0
SW-50550330,GODMANSTONE STW,GODMANSTONE STW,100.0,401521,2.0
SW-RSN1389,RSN1389 MILL HOUSE,MILL HOUSE,100.0,EPRXB3136AW,1.0
SW-50440180,MILBORNE ST ANDREW WTW,MILBORNE ST ANDREW WTW,100.0,EPRYB3197RR,2.0
SW-C7019001,WARMWELL WATERCRESS FARM D,WARMWELL WATERCRESS FARM,100.0,401056,2.0
SW-50570160,WADDOCK CROSS WATERCRESS C3,WADDOCK CROSS WATERCRESS BEDS,94.11764705882354,400114/CF/01,2.0
SW-50440194,MILBORNE ST ANDREW STW FE BERE STREAM,MILBORNE ST. ANDREW STW,90.47619047619048,042116,4.0
SW-50520131,TOLLER PORCORUM STW  MAIDEN NEWTON,TOLLER PORCORUM WRC,88.23529411764706,400607,7.0
SW-50900956,HARMANS CROSS SEWAGE TREATMENT WORKS  SWANAGE,HARMANS CROSS STW,86.66666666666667,040111,4.0
SW-50951085,SHERFORD AT SNAILS BRIDGE US BLACKHEATH,BLACKHEATH WWTW,80.0,042451,8.0
SW-50440001,MILBORNE ST ANDREW EFFLUENT TO LAGOON,MILBORNE ST. ANDREW STW,78.94736842105263,042116,4.0
SW-50440170,ROKE CRESS NORTH HOLLYBUSH BERE REGIS,HOLLYBUSH FARM,78.26086956521739,043233,2.0
SW-50410119,PUDDLETOWN STW FE,PUDDLETOWN SEWAGE TREATMENT WORKS,74.07407407407408,402100,4.0
SW-50510190,EVERSHOT STW FE,EVERSHOT WASTEWATER TREATMENT WORKS,69.56521739130434,042453,6.0
SW-50450129,RIVER PIDDLE AT WEST MILLS WAREHAM,FLAT 1-3 WEST MILLS,68.9655172413793,040145,2.0
SW-50450150,EIGHT HATCH FISH FARM INLET,EIGHT HATCH PLANTATION,66.66666666666666,041519,1.0
SW-50530190,MAIDEN NEWTON STW  DORCHESTER,MAIDEN NEWTON WATER RECYCLING CENTR,63.492063492063494,041353,6.0
SW-50590144,EAST STOKE FINAL  WAREHAM,EAST STOKE SEWAGE TREATMENT WORKS,59.64912280701754,040109,2.0
SW-50540170,SYDLING WATER U/S HUISH TROUT FARM,SYDLING ST NICHOLAS PUMPING STATION,52.17391304347826,401196,2.0
