,id,samplingPoint.notation,samplingPoint.prefLabel,samplingPoint.longitude,samplingPoint.latitude,samplingPoint.region,samplingPoint.area,samplingPoint.subArea,samplingPoint.samplingPointStatus,samplingPoint.samplingPointType,phenomenonTime,samplingPurpose,sampleMaterialType,determinand.notation,determinand.prefLabel,result,unit,PERMIT_NUMBER,PERMIT_VERSION,MONTH,Unnamed: 0,row_id,n,DETE,DETE_CODE,EA_REGION,EFFLUENT_NUMBER,METHOD,MONTH_FROM,MONTH_TO,OUTLET_NUMBER,PERMIT_REF,REGION,UNITS,VERSION,RULE_TYPE,RULE_VALUE,status
0,https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3444071/observation/0061,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-01-26 11:38:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,61,pH,7.82,PH UNITS,402100,4.0,1,51,51,1,pH,61,SW,1,ABSOLUTE,1,12,1,402100,EA South West Region,PH UNITS,4,MAXIMUM VALUE,9.0,PASS
1,https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3444071/observation/0061,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-01-26 11:38:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,61,pH,7.82,PH UNITS,402100,4.0,1,211,51,2,pH,61,SW,1,ABSOLUTE,1,12,1,402100,EA South West Region,PH UNITS,4,MINIMUM VALUE,5.5,PASS
12,https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3446314/observation/0061,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-02-14 10:05:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,61,pH,7.84,PH UNITS,402100,4.0,2,51,51,1,pH,61,SW,1,ABSOLUTE,1,12,1,402100,EA South West Region,PH UNITS,4,MAXIMUM VALUE,9.0,PASS
13,https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3446314/observation/0061,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-02-14 10:05:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,61,pH,7.84,PH UNITS,402100,4.0,2,211,51,2,pH,61,SW,1,ABSOLUTE,1,12,1,402100,EA South West Region,PH UNITS,4,MINIMUM VALUE,5.5,PASS
24,https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3446433/observation/0061,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-02-28 08:10:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,61,pH,7.77,PH UNITS,402100,4.0,2,51,51,1,pH,61,SW,1,ABSOLUTE,1,12,1,402100,EA South West Region,PH UNITS,4,MAXIMUM VALUE,9.0,PASS
25,https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3446433/observation/0061,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-02-28 08:10:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,61,pH,7.77,PH UNITS,402100,4.0,2,211,51,2,pH,61,SW,1,ABSOLUTE,1,12,1,402100,EA South West Region,PH UNITS,4,MINIMUM VALUE,5.5,PASS
36,https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3448038/observation/0061,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-03-22 08:28:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,61,pH,7.77,PH UNITS,402100,4.0,3,51,51,1,pH,61,SW,1,ABSOLUTE,1,12,1,402100,EA South West Region,PH UNITS,4,MAXIMUM VALUE,9.0,PASS
37,https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3448038/observation/0061,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-03-22 08:28:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,61,pH,7.77,PH UNITS,402100,4.0,3,211,51,2,pH,61,SW,1,ABSOLUTE,1,12,1,402100,EA South West Region,PH UNITS,4,MINIMUM VALUE,5.5,PASS
48,https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3451114/observation/0061,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-04-04 10:23:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,61,pH,7.79,PH UNITS,402100,4.0,4,51,51,1,pH,61,SW,1,ABSOLUTE,1,12,1,402100,EA South West Region,PH UNITS,4,MAXIMUM VALUE,9.0,PASS
49,https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3451114/observation/0061,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-04-04 10:23:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,61,pH,7.79,PH UNITS,402100,4.0,4,211,51,2,pH,61,SW,1,ABSOLUTE,1,12,1,402100,EA South West Region,PH UNITS,4,MINIMUM VALUE,5.5,PASS
