id,samplingPoint.notation,samplingPoint.prefLabel,samplingPoint.easting,samplingPoint.northing,samplingPoint.region,samplingPoint.area,samplingPoint.subArea,samplingPoint.samplingPointStatus,samplingPoint.samplingPointType,phenomenonTime,observation.month,samplingPurpose,sampleMaterialType,determinand.notation,determinand.prefLabel,result,unit,PERMIT_NUMBER,PERMIT_VERSION,DISCHARGE_EASTING,DISCHARGE_NORTHING,EA_REGION,REGION,OUTLET_NUMBER,EFFLUENT_NUMBER,MONTH_FROM,MONTH_TO,ROW_ID,N,DETE,METHOD,UNITS,RULE_TYPE,RULE_VALUE,ROW_PASS_STATUS,OBSERVATION_GROUPING_PASS_STATUS
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3444071/observation/0061,SW-50410119,PUDDLETOWN STW FE,375103.095792768,94948.98650098246,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-01-26 11:38:00,1,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,61,pH,7.82,PH UNITS,402100,4.0,375050.0,94950.0,SW,EA South West Region,1,1,1,12,51,1,pH,ABSOLUTE,PH UNITS,MAXIMUM VALUE,9.0,True,True
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3444071/observation/0061,SW-50410119,PUDDLETOWN STW FE,375103.095792768,94948.98650098246,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-01-26 11:38:00,1,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,61,pH,7.82,PH UNITS,402100,4.0,375050.0,94950.0,SW,EA South West Region,1,1,1,12,51,2,pH,ABSOLUTE,PH UNITS,MINIMUM VALUE,5.5,True,True
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3446314/observation/0061,SW-50410119,PUDDLETOWN STW FE,375103.095792768,94948.98650098246,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-02-14 10:05:00,2,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,61,pH,7.84,PH UNITS,402100,4.0,375050.0,94950.0,SW,EA South West Region,1,1,1,12,51,1,pH,ABSOLUTE,PH UNITS,MAXIMUM VALUE,9.0,True,True
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3446314/observation/0061,SW-50410119,PUDDLETOWN STW FE,375103.095792768,94948.98650098246,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-02-14 10:05:00,2,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,61,pH,7.84,PH UNITS,402100,4.0,375050.0,94950.0,SW,EA South West Region,1,1,1,12,51,2,pH,ABSOLUTE,PH UNITS,MINIMUM VALUE,5.5,True,True
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3446433/observation/0061,SW-50410119,PUDDLETOWN STW FE,375103.095792768,94948.98650098246,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-02-28 08:10:00,2,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,61,pH,7.77,PH UNITS,402100,4.0,375050.0,94950.0,SW,EA South West Region,1,1,1,12,51,1,pH,ABSOLUTE,PH UNITS,MAXIMUM VALUE,9.0,True,True
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3446433/observation/0061,SW-50410119,PUDDLETOWN STW FE,375103.095792768,94948.98650098246,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-02-28 08:10:00,2,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,61,pH,7.77,PH UNITS,402100,4.0,375050.0,94950.0,SW,EA South West Region,1,1,1,12,51,2,pH,ABSOLUTE,PH UNITS,MINIMUM VALUE,5.5,True,True
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3448038/observation/0061,SW-50410119,PUDDLETOWN STW FE,375103.095792768,94948.98650098246,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-03-22 08:28:00,3,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,61,pH,7.77,PH UNITS,402100,4.0,375050.0,94950.0,SW,EA South West Region,1,1,1,12,51,1,pH,ABSOLUTE,PH UNITS,MAXIMUM VALUE,9.0,True,True
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3448038/observation/0061,SW-50410119,PUDDLETOWN STW FE,375103.095792768,94948.98650098246,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-03-22 08:28:00,3,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,61,pH,7.77,PH UNITS,402100,4.0,375050.0,94950.0,SW,EA South West Region,1,1,1,12,51,2,pH,ABSOLUTE,PH UNITS,MINIMUM VALUE,5.5,True,True
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3451114/observation/0061,SW-50410119,PUDDLETOWN STW FE,375103.095792768,94948.98650098246,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-04-04 10:23:00,4,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,61,pH,7.79,PH UNITS,402100,4.0,375050.0,94950.0,SW,EA South West Region,1,1,1,12,51,1,pH,ABSOLUTE,PH UNITS,MAXIMUM VALUE,9.0,True,True
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3451114/observation/0061,SW-50410119,PUDDLETOWN STW FE,375103.095792768,94948.98650098246,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-04-04 10:23:00,4,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,61,pH,7.79,PH UNITS,402100,4.0,375050.0,94950.0,SW,EA South West Region,1,1,1,12,51,2,pH,ABSOLUTE,PH UNITS,MINIMUM VALUE,5.5,True,True
