"COMPANY_NAME","DISCHARGE_SITE_NAME","DISCHARGE_SITE_TYPE_CODE","DSI_TYPE_DESCRIPTION","ADD_OF_DISCHARGE_SITE_LINE_1","ADD_OF_DISCHARGE_SITE_LINE_2","ADD_OF_DISCHARGE_SITE_LINE_3","ADD_OF_DISCHARGE_SITE_LINE_4","ADD_OF_DISCHARGE_SITE_PCODE","DISTRICT_COUNCIL","DISCHARGE_NGR","CATC_NAME","CATCHMENT_CODE","EA_REGION","SOURCE","PERMIT_NUMBER","PERMIT_VERSION","RECEIVING_WATER","RECEIVING_ENVIRON_TYPE_CODE","REC_ENV_CODE_DESCRIPTION","ISSUED_DATE","EFFECTIVE_DATE","REVOCATION_DATE","STATUS_OF_PERMIT","STATUS_DESCRIPTION","OUTLET_NUMBER","OUTLET_TYPE_CODE","OUTLET_TYPE_DESCRIPTION","OUTLET_GRID_REF","EFFLUENT_NUMBER","EFFLUENT_TYPE","EFF_TYPE_DESCRIPTION","EFFLUENT_GRID_REF","geometry"
"MR OWEN DAVIES","THE SUN INN","56","Food+Beverage Services/Cafe/Restaurant/Pub","LOWER BURTON","CHARMINSTER","DORCHESTER","DORSET","DT2 7RZ","DORSET UA","SY6875091700","FROME/CERNE,SYDLG-S.WINTB","44/55-","SW","EA South West Region","042121","1","SOAKAWAY","3.0","Into land / infiltration system","","04/09/92 00:00:00","10/01/96 00:00:00","E3","LAPSED UNDER SCHEDULE 23 ENVIRONMENT ACT 1995","1","U","Sewage - not water company","SY6880091700","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","SY6880091700","POINT (368750 91700)"
"WAREHAM FOREST TOURING PARK LIMITED","WAREHAM FOREST TOURING PARK","A1","Domestic property (multiple) (incl farm houses)","NORTH TRIGON","WAREHAM","DORSET","","BH20 7NZ","DORSET UA","SY8910091400","PIDDLE-BERE STM TO WAREHM","44/45-","SW","EA South West Region","042395","1","SOAKAWAY","3.0","Into land / infiltration system","06/22/93 00:00:00","06/17/93 00:00:00","05/25/15 00:00:00","E8","SURRENDERED UNDER EPR 2010","2","U","Sewage - not water company","SY8920091370","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","SY8920091370","POINT (389100 91400)"
"MR & MRS A C FRY","KINGSTON BARNS ADJ.GREYSTONE COURT","A1","Domestic property (multiple) (incl farm houses)","KINGSTON","NEAR WAREHAM","DORSET","","","DORSET UA","SY9618079310","POOLE - WEYMOUTH COAST","44/03-","SW","EA South West Region","042988","1","UN-NAMED STREAM","1.0","Freshwater river","08/08/95 00:00:00","04/01/08 00:00:00","03/08/21 00:00:00","E8","SURRENDERED UNDER EPR 2010","1","U","Sewage - not water company","SY9619079420","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","SY9619079420","POINT (396180 79310)"
"TRUSTEES OF MR DE SCOTT","BRADLE FARM","A0","Domestic property (single) (incl farm house)","BRADLE","WAREHAM","","DORSET","BH20 5NU","DORSET UA","SY9315080640","POOLE HARBR/CORFE/SHERFD","44/90-","SW","EA South West Region","040284","1","SOAKAWAY","3.0","Into land / infiltration system","11/25/86 00:00:00","12/01/86 00:00:00","12/16/12 00:00:00","N1","NEW CONSENT, BY APPLICATION (WRA 91, SECTION 88)","1","U","Sewage - not water company","SY9315080680","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","SY9315080680","POINT (393150 80640)"
"MRS T COOMBS","1-4 MANOR FARM BARNS","A1","Domestic property (multiple) (incl farm houses)","EAST STOKE","WAREHAM","","DORSET","BH20 6AW","DORSET UA","SY8700086580","FROME -TADNOLL TO WAREHAM","44/59-","SW","EA South West Region","040138","1","SOAKAWAY","3.0","Into land / infiltration system","10/02/85 00:00:00","10/01/85 00:00:00","12/16/12 00:00:00","N1","NEW CONSENT, BY APPLICATION (WRA 91, SECTION 88)","1","U","Sewage - not water company","SY8700086580","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","SY8700086580","POINT (387000 86580)"
"MILL STREET HOUSING SOCIETY","OLD MILL FLATS","A1","Domestic property (multiple) (incl farm houses)","HOLLOWAY ROAD","DORCHESTER","DORSET","","","DORSET UA","SY6997090600","FROME/CERNE,SYDLG-S.WINTB","44/55-","SW","EA South West Region","040170","1","MILL STREAM, TRIBUTARY R.FROME","1.0","Freshwater river","","12/01/85 00:00:00","08/10/04 00:00:00","K6","CONSENT REVOKED - DISCHARGE CEASED (WRA  91, SCHED 10 & 6)","1","T","Trade","SY6996090620","1","DE","MISCELLANEOUS DISCHARGES - SURFACE WATER","SY6996090620","POINT (369970 90600)"
"MR C BARTER","WARMWELL WATERCRESS FARM","03","Fish + Aquaculture/Fish Farm/Cress Farm","WARMWELL","DORCHESTER","","DORSET","DT2 8JG","DORSET UA","SY7492087270","TADNOLL BROOK/EMPOOL STRM","44/58-","SW","EA South West Region","043238","1","TADNOLL BROOK","1.0","Freshwater river","03/28/96 00:00:00","03/29/96 00:00:00","10/24/02 00:00:00","E2","REVOKED (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)","1","T","Trade","SY7473087330","1","AD","AGRICULTURE - WATER CRESS FARMING","SY7473087330","POINT (374920 87270)"
"MR C BARTER","BROCKHILL WATERCRESS FARM","03","Fish + Aquaculture/Fish Farm/Cress Farm","TURNERS PUDDLE","WAREHAM","","DORSET","BH20 7NH","DORSET UA","SY8369092820","PIDDLE-DV'LS BK-BERE STRM","44/43-","SW","EA South West Region","043245","1","MIDDLE PIDDLE","1.0","Freshwater river","03/28/96 00:00:00","03/29/96 00:00:00","10/24/02 00:00:00","E2","REVOKED (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)","2","T","Trade","SY8362092940","1","AD","AGRICULTURE - WATER CRESS FARMING","SY8368092950","POINT (383690 92820)"
"MILTON ABBEY SCHOOL SERVICES LIMITED","MILTON ABBEY SCHOOL","85","Education/Nursery/School/College/Uni/Training Venue","MILTON ABBAS","BLANDFORD FORUM","DORSET","","DT11 0BZ","DORSET UA","ST7993002580","BERE STREAM","44/44-","SW","EA South West Region","040712","1","SOAKAWAY","3.0","Into land / infiltration system","","05/01/88 00:00:00","03/20/13 00:00:00","N1","NEW CONSENT, BY APPLICATION (WRA 91, SECTION 88)","1","D","Miscellaneous","ST7991002480","1","DB","MISCELLANEOUS DISCHARGES - SWIMMING POOL WATER","ST7991002480","POINT (379930 102580)"
"MANOR COTTAGES MANAGEMENT LIMITED","CROSS LANE FARM","A1","Domestic property (multiple) (incl farm houses)","CROSS LANES","MELCOMBE BINGHAM","DORCHESTER","DORSET","DT2 7NZ","DORSET UA","ST7600002280","DEVILS BROOK/CHESILBN STM","44/42-","SW","EA South West Region","043311","1","SOAKAWAY","5.0","Into groundwater via borehole","06/14/96 00:00:00","05/31/96 00:00:00","12/16/12 00:00:00","N3","NEW CONSENT, BY APPLICATION (WRA 91, SECTION 113 & SCHED 12)","1","U","Sewage - not water company","ST7604002260","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","ST7604002270","POINT (376000 102280)"
