id,samplingPoint.notation,samplingPoint.prefLabel,samplingPoint.longitude,samplingPoint.latitude,samplingPoint.region,samplingPoint.area,samplingPoint.subArea,samplingPoint.samplingPointStatus,samplingPoint.samplingPointType,phenomenonTime,samplingPurpose,sampleMaterialType,determinand.notation,determinand.prefLabel,result,unit
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3578183/observation/0061,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2026-01-28T11:35:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0061,pH,7.93,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3578183/observation/0085,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2026-01-28T11:35:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0085,BOD : 5 Day ATU,<6,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3578183/observation/0111,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2026-01-28T11:35:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0111,Ammoniacal Nitrogen as N,<0.2,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3578183/observation/0135,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2026-01-28T11:35:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0135,"Solids, Suspended at 105 C",6,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3580637/observation/0061,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2026-02-19T10:25:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0061,pH,7.53,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3580637/observation/0085,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2026-02-19T10:25:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0085,BOD : 5 Day ATU,<6,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3580637/observation/0111,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2026-02-19T10:25:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0111,Ammoniacal Nitrogen as N,<0.2,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3580637/observation/0135,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2026-02-19T10:25:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0135,"Solids, Suspended at 105 C",<5,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3583192/observation/0061,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2026-03-25T10:17:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0061,pH,7.69,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3583192/observation/0085,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2026-03-25T10:17:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0085,BOD : 5 Day ATU,<6,MILLIGRAM PER LITRE
