EA_REGION,REGION,PERMIT_REF,VERSION,OUTLET_NUMBER,EFFLUENT_NUMBER,SPT_DESC,EFF_SAMPLE_POINT,EFF_TMEN_CODE,TMEN_DESC,DWF (m3_d),MAX_DAILY (m3_d),MEAN (m3_d),MAX_RATE (l_s),samplingPoint.notation
SW,EA South West Region,041534,1,1,1,AGRICULTURE - FISH FARMING - WATER COMPANY,50230437,01,BIOLOGICAL FILTRATION,,850.0,,,SW-50230437
SW,EA South West Region,041564,1,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,C1870900,01,BIOLOGICAL FILTRATION,,5.0,,,SW-C1870900
SW,EA South West Region,070118,1,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,E1000039,01,BIOLOGICAL FILTRATION,3750.0,13219.0,,,SW-E1000039
SW,EA South West Region,070125,1,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,E2130019,01,BIOLOGICAL FILTRATION,17.0,,,,SW-E2130019
SW,EA South West Region,070134,1,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,E4000049,03,TERTIARY BIOLOGICAL,14305.0,,,,SW-E4000049
SW,EA South West Region,070146,1,1,1,WASTE SITE - UNSPECIFIED,60010544,05,DO NOT USE - CHEMICAL & BIOLOGICAL,,800.0,,30.0,SW-60010544
SW,EA South West Region,070154,1,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,E3110039,01,BIOLOGICAL FILTRATION,110.0,,,,SW-E3110039
SW,EA South West Region,070190,1,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,E1430029,01,BIOLOGICAL FILTRATION,,1.6,,,SW-E1430029
SW,EA South West Region,011331,1,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,Z8480263,01,BIOLOGICAL FILTRATION,,8.0,,,SW-Z8480263
SW,EA South West Region,041824,1,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,50340998,06,SEPTIC TANK,,8.0,,,SW-50340998
SW,EA South West Region,042169,1,2,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,50280581,12,MACERATION,2350.0,,,,SW-50280581
SW,EA South West Region,002250/FN/01,1,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,70534925,,,139.0,,,,SW-70534925
SW,EA South West Region,004295/TF/01,1,1,1,AGRICULTURE - FISH FARMING - WATER COMPANY,73012734,,,,2490.0,,,SW-73012734
SW,EA South West Region,042423,1,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,50281354,01,BIOLOGICAL FILTRATION,,15.0,,,SW-50281354
SW,EA South West Region,042463,1,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,50310131,01,BIOLOGICAL FILTRATION,100.0,,,,SW-50310131
SW,EA South West Region,042479,1,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,D1036900,01,BIOLOGICAL FILTRATION,3204.0,,,,SW-D1036900
SW,EA South West Region,010003,1,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,B0010601,01,BIOLOGICAL FILTRATION,275.0,,,,SW-B0010601
SW,EA South West Region,010008,1,1,2,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,Z1440119,11,SCREENING,,,,,SW-Z1440119
SW,EA South West Region,010010,1,3,1,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,Z1011539,11,SCREENING,,,,,SW-Z1011539
SW,EA South West Region,010012,1,2,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,Z8480219,01,BIOLOGICAL FILTRATION,3400.0,,,,SW-Z8480219
