samplingPoint.notation,PERMIT_REF,VERSION,OUTLET_NUMBER,EFFLUENT_NUMBER
SW-50230437,041534,1,1,1
SW-C1870900,041564,1,1,1
SW-E1000039,070118,1,1,1
SW-E2130019,070125,1,1,1
SW-E4000049,070134,1,1,1
SW-60010544,070146,1,1,1
SW-E3110039,070154,1,1,1
SW-E1430029,070190,1,1,1
SW-Z8480263,011331,1,1,1
SW-50340998,041824,1,1,1
SW-50280581,042169,1,2,1
SW-70534925,002250/FN/01,1,1,1
SW-73012734,004295/TF/01,1,1,1
SW-50281354,042423,1,1,1
SW-50310131,042463,1,1,1
SW-D1036900,042479,1,1,1
SW-B0010601,010003,1,1,1
SW-Z1440119,010008,1,1,2
SW-Z1011539,010010,1,3,1
SW-Z8480219,010012,1,2,1
SW-A1310203,010014,1,1,1
SW-50360557,040023,1,1,2
SW-50231729,040024,1,1,1
SW-50361056,040028,1,1,1
SW-50210790,040029,1,1,1
SW-50341160,040046,1,2,1
SW-50210465,040061,1,1,1
SW-50221670,040076,1,1,1
SW-A3200222,010099,1,1,1
SW-A2300112,011843,1,2,1
SW-A1260106,011987,1,1,1
SW-50340340,040086,1,1,1
SW-50590144,040109,1,1,1
SW-50340255,040239,1,1,1
SW-C1489900,040299,1,1,1
SW-50440168,043234,1,1,1
SW-50340228,043237,1,1,1
SW-50250231,043250,1,5,1
SW-E1000029,070227,1,1,1
SW-Z1450105,011343,1,1,1
SW-A3210102,011345,1,1,1
SW-A0360119,011351,1,1,1
SW-50250404,042115,1,1,1
SW-Z3110105,011563,1,1,1
SW-A3240103,010017,1,1,1
SW-A3240113,010017,1,2,1
SW-Z1160103,010020,1,1,1
SW-A4070136,011602,1,1,1
SW-Z3110140,011608,1,1,1
SW-A0340318,011621,1,1,1
SW-Z2050113,011722,1,2,1
SW-Z7500142,011776,1,1,1
SW-A2270450,010034,1,2,1
SW-Z8490105,010045,1,1,1
SW-A3220201,010049,1,1,1
SW-B3140102,010063,1,1,1
SW-A2280125,010065,1,2,1
SW-Z2030302,010067,1,1,1
SW-Z9400117,010069,1,1,2
SW-B0050104,010073,1,1,1
SW-Z1011505,010098,1,1,1
SW-50240313,040119,1,1,1
SW-C0182100,040171,1,2,1
SW-Z7500138,012129,1,1,1
SW-Z1010110,012161,1,1,1
SW-Z7500029,012190,1,2,1
SW-A1320113,012199,1,1,1
SW-A1320209,010336,1,1,1
SW-B0050112,010392,1,1,1
SW-Z2030435,012492,1,1,1
SW-50320175,040450,1,1,1
SW-50320173,040450,1,2,1
SW-Z1440119,012547,1,1,2
SW-B0050113,012554,1,1,1
SW-C1217900,040543,1,1,1
SW-C1832900,040632,1,1,1
SW-B0090108,010579,1,1,1
SW-E1006401,012847,1,1,1
SW-C1572900,050826,1,1,1
SW-A0340108,013109,1,1,1
SW-50430119,050925,1,1,1
SW-C1820900,050929,1,1,1
SW-50341285,050962,1,1,1
SW-50240333,043472,1,1,1
SW-B0011105,010508,1,1,1
SW-C1524900,050689,1,1,1
SW-50240484,050690,1,1,1
SW-50250580,050707,1,1,1
SW-C1528900,050710,1,1,1
SW-50520223,040811,1,1,1
SW-6WXE0123,040861,1,1,1
SW-50360944,050860,1,1,1
SW-Z8490198,013288,1,1,1
SW-E1270049,013383,1,1,1
SW-50340913,051115,1,1,1
SW-50051107,051130,1,1,1
SW-B0070102,021248,1,1,1
SW-C1831900,051270,1,1,1
SW-50340139,041401,1,1,1
SW-60030541,070009,1,2,1
SW-60033311,070020,1,1,1
SW-E4170019,070026,1,1,1
SW-E1210019,070062,1,1,1
SW-E1000049,070084,1,1,1
SW-60033369,070096,1,1,1
SW-A2270442,021450,1,1,1
SW-72922737,200355/FN/01,1,1,1
SW-72933722,200364/FN/01,1,1,1
SW-60560725,081921,1,2,1
SW-E1000642,081930,1,1,1
SW-70826012,DRA 1349,1,1,1
SW-Z1011548,021277,1,1,1
SW-Z3110208,021316,1,1,1
SW-60030539,070424,1,1,1
SW-E7050019,081979,1,1,1
SW-60032956,081987,1,1,1
SW-E4350029,082003,1,1,1
SW-T1000034,082078,1,1,1
SW-72930815,DRA 192,1,1,1
SW-70591632,DRA 262,1,1,1
SW-70591706,DRA 397,1,1,1
SW-70812669,DRA 464,1,1,1
SW-72810118,DRA 598,1,1,1
SW-Z1012103,100343,1,1,1
SW-60010154,071894,1,1,1
SW-81010236,15/47/1/P/6,1,1,1
SW-T1000020,082094,1,1,1
SW-E1310029,082117,1,1,1
SW-81010812,2896/45,1,1,1
SW-70816605,2898/38,1,1,1
SW-E2000039,082162,1,1,1
SW-E1450009,082179,1,1,1
SW-60590123,082229,1,1,1
SW-E0910009,082302,1,1,1
SW-E0910399,082346,1,1,1
SW-Z1010605,100013,1,3,1
SW-60010529,071520,1,1,1
SW-E2009949,071617,1,1,1
SW-E2190229,100233,1,3,1
SW-B0020154,100311,1,1,1
SW-60101023,100319,1,1,1
SW-73011323,NRA-SW-0002,1,1,1
SW-91251612,NRA-SW-0007,1,1,1
SW-82540181,NRA-SW-0049,1,1,1
SW-70723353,NRA-SW-0051,1,1,1
SW-70591772,NRA-SW-0056,1,1,1
SW-82713492,NRA-SW-0058,1,1,1
SW-72935483,NRA-SW-0063,1,1,1
