sp_notation,determinand,n_observations
SW-50331270,0085,23
SW-50331270,0092,1
SW-50331270,0111,23
SW-50331270,0116,1
SW-50331270,0135,23
SW-50331270,0172,2
SW-50331270,0180,1
SW-50331270,1183,22
SW-50331270,3267,22
SW-50331270,4883,1
SW-50331270,6515,3
SW-50331270,7434,1
SW-50410119,0061,227
SW-50410119,0085,310
SW-50410119,0092,3
SW-50410119,0111,312
SW-50410119,0135,313
SW-50410119,0172,3
SW-50410119,1183,97
SW-50410119,3267,98
SW-50410119,4838,1
SW-50410119,4883,1
SW-50410119,6515,12
SW-50410119,7668,5
SW-50410150,0061,1
SW-50410150,0085,234
SW-50410150,0092,2
SW-50410150,0111,235
SW-50410150,0135,235
SW-50410150,0172,2
SW-50410150,0348,18
SW-50410150,1181,1
SW-50410150,1183,95
SW-50410150,3267,94
SW-50410150,4883,1
SW-50410150,6051,16
SW-50410150,6057,16
SW-50410150,6515,12
SW-50410150,7668,24
SW-50410164,0052,24
SW-50410164,0061,284
SW-50410164,0062,3
SW-50410164,0076,269
SW-50410164,0077,141
SW-50410164,0085,116
SW-50410164,0106,24
SW-50410164,0111,267
SW-50410164,0116,226
SW-50410164,0117,226
SW-50410164,0118,267
SW-50410164,0119,267
SW-50410164,0135,241
SW-50410164,0158,58
SW-50410164,0162,219
SW-50410164,0163,4
SW-50410164,0164,4
SW-50410164,0180,252
SW-50410164,0211,59
SW-50410164,0237,58
SW-50410164,0239,13
SW-50410164,0241,58
SW-50410164,0301,67
SW-50410164,0664,132
SW-50410164,1183,102
SW-50410164,3021,36
SW-50410164,3023,36
SW-50410164,3267,102
SW-50410164,3377,6
SW-50410164,3408,24
SW-50410164,3409,24
SW-50410164,3410,24
SW-50410164,3683,79
SW-50410164,3878,6
SW-50410164,4820,6
SW-50410164,4821,6
SW-50410164,4822,6
SW-50410164,6396,64
SW-50410164,6450,191
SW-50410164,6455,167
SW-50410164,6458,13
SW-50410164,6460,13
SW-50410164,6515,6
SW-50410164,6841,132
SW-50410164,7887,64
SW-50410164,9901,268
SW-50410164,9924,268
SW-50419999,0050,1
SW-50419999,0061,6
SW-50419999,0062,4
SW-50419999,0076,4
SW-50419999,0077,2
SW-50419999,0085,9
SW-50419999,0092,4
SW-50419999,0108,1
SW-50419999,0111,9
SW-50419999,0116,5
SW-50419999,0117,4
SW-50419999,0118,4
SW-50419999,0135,10
SW-50419999,0172,13
SW-50419999,0180,5
SW-50419999,0664,4
SW-50419999,0666,2
SW-50419999,1183,4
SW-50419999,3047,2
SW-50419999,3069,2
SW-50419999,3077,2
SW-50419999,3095,2
SW-50419999,3164,1
SW-50419999,3267,4
SW-50419999,3372,6
SW-50419999,4147,4
SW-50419999,6046,1
SW-50419999,6051,1
SW-50419999,6452,1
SW-50419999,6455,1
SW-50419999,6462,1
SW-50419999,7434,14
SW-50419999,9901,4
SW-5041GW03,0050,54
SW-5041GW03,0052,22
SW-5041GW03,0061,56
SW-5041GW03,0062,12
SW-5041GW03,0073,14
SW-5041GW03,0076,80
SW-5041GW03,0077,64
SW-5041GW03,0099,12
SW-5041GW03,0103,7
SW-5041GW03,0105,11
SW-5041GW03,0106,22
SW-5041GW03,0108,54
SW-5041GW03,0111,80
SW-5041GW03,0116,80
SW-5041GW03,0117,80
SW-5041GW03,0118,80
SW-5041GW03,0158,58
SW-5041GW03,0162,80
SW-5041GW03,0167,5
SW-5041GW03,0171,35
SW-5041GW03,0172,80
SW-5041GW03,0175,18
SW-5041GW03,0177,56
SW-5041GW03,0179,20
SW-5041GW03,0180,76
SW-5041GW03,0182,58
SW-5041GW03,0183,54
SW-5041GW03,0192,4
SW-5041GW03,0205,22
SW-5041GW03,0207,54
SW-5041GW03,0209,22
SW-5041GW03,0211,54
SW-5041GW03,0235,22
SW-5041GW03,0237,54
SW-5041GW03,0239,22
SW-5041GW03,0241,54
SW-5041GW03,0301,50
SW-5041GW03,0483,14
SW-5041GW03,0487,14
SW-5041GW03,0491,14
SW-5041GW03,0495,14
SW-5041GW03,0499,14
SW-5041GW03,0503,14
SW-5041GW03,0507,14
SW-5041GW03,0511,14
SW-5041GW03,0527,14
SW-5041GW03,0535,14
SW-5041GW03,0539,14
SW-5041GW03,0543,14
SW-5041GW03,0547,8
SW-5041GW03,0551,14
SW-5041GW03,0555,14
SW-5041GW03,0559,14
SW-5041GW03,0562,14
SW-5041GW03,0569,14
SW-5041GW03,0570,14
SW-5041GW03,0573,14
SW-5041GW03,0576,14
SW-5041GW03,0577,14
SW-5041GW03,0578,14
SW-5041GW03,0579,14
SW-5041GW03,0581,14
SW-5041GW03,0723,14
SW-5041GW03,1049,8
SW-5041GW03,1118,14
SW-5041GW03,1119,14
SW-5041GW03,1120,4
SW-5041GW03,1183,1
SW-5041GW03,1200,3
SW-5041GW03,2953,1
SW-5041GW03,2957,1
SW-5041GW03,2959,1
SW-5041GW03,2960,1
SW-5041GW03,2961,1
SW-5041GW03,2963,1
SW-5041GW03,2964,1
SW-5041GW03,2965,1
SW-5041GW03,2967,1
SW-5041GW03,2968,1
SW-5041GW03,2969,1
SW-5041GW03,2970,1
SW-5041GW03,2972,1
SW-5041GW03,2973,1
SW-5041GW03,2975,1
SW-5041GW03,2977,1
SW-5041GW03,2978,1
SW-5041GW03,2981,1
SW-5041GW03,2982,1
SW-5041GW03,2983,1
SW-5041GW03,2984,1
SW-5041GW03,2987,1
SW-5041GW03,2988,1
SW-5041GW03,2989,1
SW-5041GW03,2990,1
SW-5041GW03,2991,1
SW-5041GW03,2993,1
SW-5041GW03,2995,1
SW-5041GW03,3001,14
SW-5041GW03,3002,14
SW-5041GW03,3004,13
SW-5041GW03,3009,14
SW-5041GW03,3086,11
SW-5041GW03,3113,10
SW-5041GW03,3117,19
SW-5041GW03,3118,19
SW-5041GW03,3119,13
SW-5041GW03,3130,13
SW-5041GW03,3164,54
SW-5041GW03,3169,70
SW-5041GW03,3170,4
SW-5041GW03,3267,15
SW-5041GW03,3268,8
SW-5041GW03,3269,8
SW-5041GW03,3272,8
SW-5041GW03,3282,8
SW-5041GW03,3283,8
SW-5041GW03,3290,3
SW-5041GW03,3292,8
SW-5041GW03,3328,8
SW-5041GW03,3334,8
SW-5041GW03,3341,7
SW-5041GW03,3373,8
SW-5041GW03,3377,4
SW-5041GW03,3386,14
SW-5041GW03,3399,19
SW-5041GW03,3400,19
SW-5041GW03,3408,22
SW-5041GW03,3409,22
SW-5041GW03,3410,22
SW-5041GW03,3475,16
SW-5041GW03,3545,15
SW-5041GW03,3546,15
SW-5041GW03,3547,7
SW-5041GW03,3548,15
SW-5041GW03,3549,15
SW-5041GW03,3550,15
SW-5041GW03,3551,15
SW-5041GW03,3552,14
SW-5041GW03,3555,15
SW-5041GW03,3781,8
SW-5041GW03,3784,8
SW-5041GW03,3790,15
SW-5041GW03,3791,15
SW-5041GW03,3792,15
SW-5041GW03,3811,18
SW-5041GW03,3878,4
SW-5041GW03,3925,19
SW-5041GW03,4064,15
SW-5041GW03,4065,15
SW-5041GW03,4084,1
SW-5041GW03,4117,8
SW-5041GW03,4201,22
SW-5041GW03,4820,4
SW-5041GW03,4821,4
SW-5041GW03,4822,4
SW-5041GW03,4994,11
SW-5041GW03,5042,7
SW-5041GW03,5046,2
SW-5041GW03,5047,7
SW-5041GW03,5050,7
SW-5041GW03,5446,5
SW-5041GW03,5563,14
SW-5041GW03,5862,6
SW-5041GW03,5883,9
SW-5041GW03,5884,9
SW-5041GW03,6030,42
SW-5041GW03,6037,22
SW-5041GW03,6038,10
SW-5041GW03,6040,33
