sp_notation,pref_label,wkt,type_notation,type_label,status_label
SW-50331270,HARTSFOOT CLOSE STW FINAL EFFLUENT MELCOMBE BINGHAM,POINT(376300 102700) <http://www.opengis.net/def/crs/EPSG/0/27700>,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,OPEN
SW-50410119,PUDDLETOWN STW FE,POINT(375100 94950) <http://www.opengis.net/def/crs/EPSG/0/27700>,SA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,OPEN
SW-50410150,PIDDLEHINTON STW FE,POINT(372165 96316) <http://www.opengis.net/def/crs/EPSG/0/27700>,SA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,OPEN
SW-50410164,RIVER PIDDLE AT PIDDLEHINTON,POINT(371500 97200) <http://www.opengis.net/def/crs/EPSG/0/27700>,F6,FRESHWATER - RIVERS,OPEN
SW-50419999,MISCELLANEOUS UPPER PIDDLE CATCHMENT,POINT(370000 102400) <http://www.opengis.net/def/crs/EPSG/0/27700>,PE,POLLUTION/INVESTIGATION POINTS - ENVIRONMENT,OPEN
SW-5041GW03,CARTER BARN FARM BOREHOLE,POINT(373250 97950) <http://www.opengis.net/def/crs/EPSG/0/27700>,BA,GROUNDWATER - BOREHOLE,OPEN
SW-50429999,MISCELLANEOUS DEVILS BROOK CATCHMENT,POINT(377000 99980) <http://www.opengis.net/def/crs/EPSG/0/27700>,PE,POLLUTION/INVESTIGATION POINTS - ENVIRONMENT,OPEN
SW-50430109,PIDDLE UPSTREAM CHAMBERLAYNES FARM,POINT(384473 92745) <http://www.opengis.net/def/crs/EPSG/0/27700>,F6,FRESHWATER - RIVERS,OPEN
SW-50430126,BROCKHILL WATERCRESS FARM B & C 2,POINT(383740 92930) <http://www.opengis.net/def/crs/EPSG/0/27700>,AD,AGRICULTURE - WATER CRESS FARMING,OPEN
SW-50430127,BROCKHILL WATERCRESS FARM B & C 1,POINT(383700 92950) <http://www.opengis.net/def/crs/EPSG/0/27700>,AD,AGRICULTURE - WATER CRESS FARMING,OPEN
SW-50430144,RIVER PIDDLE AT TURNERSPUDDLE,POINT(382964 93274) <http://www.opengis.net/def/crs/EPSG/0/27700>,F6,FRESHWATER - RIVERS,OPEN
SW-50439999,MISCELLANEOUS MIDDLE PIDDLE CATCHMENT DEVILS BROOK TO BERE STREAM,POINT(381500 93000) <http://www.opengis.net/def/crs/EPSG/0/27700>,PE,POLLUTION/INVESTIGATION POINTS - ENVIRONMENT,OPEN
SW-5043GW06,BROCKHILL CRESS BEDS POINT D,POINT(383425 92835) <http://www.opengis.net/def/crs/EPSG/0/27700>,BA,GROUNDWATER - BOREHOLE,OPEN
SW-50440001,MILBORNE ST ANDREW EFFLUENT TO LAGOON,POINT(380300 96650) <http://www.opengis.net/def/crs/EPSG/0/27700>,SA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,OPEN
SW-50440119,BERE STREAM D/S DODDINGS WATERCRESS AT   SNATFORD BRIDGE,POINT(385580 92986) <http://www.opengis.net/def/crs/EPSG/0/27700>,F6,FRESHWATER - RIVERS,OPEN
SW-50440122,DODDINGS FARM WATERCRESS SETTLEMENT POND A1,POINT(385320 93150) <http://www.opengis.net/def/crs/EPSG/0/27700>,AD,AGRICULTURE - WATER CRESS FARMING,OPEN
