OGC_FID,id,app_id,ref_year,contract_start,contract_end,scheme,application_type,option_code,area,mtl,units,uom_desc,opt_year,schememodule,geom
287,Sustainable_Farming_Incentive_Scheme_Actions_England.639810,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,LIG1,0.7398,,,HA,2026,SFI23,POINT (-2.690594 50.805788)
288,Sustainable_Farming_Incentive_Scheme_Actions_England.639811,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,HRW1,,1040,,Metres,2026,SFI23,POINT (-2.690594 50.805788)
289,Sustainable_Farming_Incentive_Scheme_Actions_England.639812,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,HRW2,,1040,,Metres,2026,SFI23,POINT (-2.690594 50.805788)
290,Sustainable_Farming_Incentive_Scheme_Actions_England.639813,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,SAM1,7.1441,,,HA,2026,SFI23,POINT (-2.690594 50.805788)
291,Sustainable_Farming_Incentive_Scheme_Actions_England.639814,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,HRW3,,406,,Metres,2026,SFI23,POINT (-2.690594 50.805788)
292,Sustainable_Farming_Incentive_Scheme_Actions_England.639815,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,SAM3,5.027,,,HA,2026,SFI23,POINT (-2.687569 50.804168)
293,Sustainable_Farming_Incentive_Scheme_Actions_England.639816,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,HRW3,,350,,Metres,2026,SFI23,POINT (-2.687569 50.804168)
294,Sustainable_Farming_Incentive_Scheme_Actions_England.639817,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,HRW2,,434,,Metres,2026,SFI23,POINT (-2.687569 50.804168)
295,Sustainable_Farming_Incentive_Scheme_Actions_England.639818,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,HRW1,,434,,Metres,2026,SFI23,POINT (-2.687569 50.804168)
296,Sustainable_Farming_Incentive_Scheme_Actions_England.639819,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,SAM1,5.027,,,HA,2026,SFI23,POINT (-2.687569 50.804168)
297,Sustainable_Farming_Incentive_Scheme_Actions_England.639820,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,SAM1,3.9196,,,HA,2026,SFI23,POINT (-2.683626 50.804091)
298,Sustainable_Farming_Incentive_Scheme_Actions_England.639821,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,HRW1,,416,,Metres,2026,SFI23,POINT (-2.683626 50.804091)
299,Sustainable_Farming_Incentive_Scheme_Actions_England.639822,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,HRW3,,150,,Metres,2026,SFI23,POINT (-2.683626 50.804091)
300,Sustainable_Farming_Incentive_Scheme_Actions_England.639823,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,HRW2,,416,,Metres,2026,SFI23,POINT (-2.683626 50.804091)
301,Sustainable_Farming_Incentive_Scheme_Actions_England.639824,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,HRW1,,784,,Metres,2026,SFI23,POINT (-2.693373 50.807517)
302,Sustainable_Farming_Incentive_Scheme_Actions_England.639825,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,HRW3,,330,,Metres,2026,SFI23,POINT (-2.693373 50.807517)
303,Sustainable_Farming_Incentive_Scheme_Actions_England.639826,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,HRW2,,784,,Metres,2026,SFI23,POINT (-2.693373 50.807517)
304,Sustainable_Farming_Incentive_Scheme_Actions_England.639827,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,SAM3,14.5149,,,HA,2026,SFI23,POINT (-2.693373 50.807517)
305,Sustainable_Farming_Incentive_Scheme_Actions_England.639828,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,SAM1,17.0749,,,HA,2026,SFI23,POINT (-2.693373 50.807517)
306,Sustainable_Farming_Incentive_Scheme_Actions_England.639829,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,HRW1,,674,,Metres,2026,SFI23,POINT (-2.692695 50.809711)
307,Sustainable_Farming_Incentive_Scheme_Actions_England.639830,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,HRW3,,262,,Metres,2026,SFI23,POINT (-2.692695 50.809711)
308,Sustainable_Farming_Incentive_Scheme_Actions_England.639831,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,SAM1,5.9404,,,HA,2026,SFI23,POINT (-2.692695 50.809711)
309,Sustainable_Farming_Incentive_Scheme_Actions_England.639832,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,HRW2,,674,,Metres,2026,SFI23,POINT (-2.692695 50.809711)
310,Sustainable_Farming_Incentive_Scheme_Actions_England.639833,1706655,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,HRW3,,277,,Metres,2026,SFI23,POINT (-2.690589 50.813915)
311,Sustainable_Farming_Incentive_Scheme_Actions_England.639834,1706655,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,HRW1,,277,,Metres,2026,SFI23,POINT (-2.690589 50.813915)
312,Sustainable_Farming_Incentive_Scheme_Actions_England.639835,1706655,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,HRW1,,137,,Metres,2026,SFI23,POINT (-2.687994 50.814148)
313,Sustainable_Farming_Incentive_Scheme_Actions_England.639836,1706655,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,HRW3,,137,,Metres,2026,SFI23,POINT (-2.687994 50.814148)
314,Sustainable_Farming_Incentive_Scheme_Actions_England.639837,1706655,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,HRW2,,137,,Metres,2026,SFI23,POINT (-2.687994 50.814148)
315,Sustainable_Farming_Incentive_Scheme_Actions_England.639838,1706655,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,SAM1,1.09,,,HA,2026,SFI23,POINT (-2.687994 50.814148)
316,Sustainable_Farming_Incentive_Scheme_Actions_England.639839,1706655,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,LIG1,1.09,,,HA,2026,SFI23,POINT (-2.687994 50.814148)
317,Sustainable_Farming_Incentive_Scheme_Actions_England.639840,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,HRW3,,105,,Metres,2026,SFI23,POINT (-2.687891 50.809608)
318,Sustainable_Farming_Incentive_Scheme_Actions_England.639841,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,HRW2,,656,,Metres,2026,SFI23,POINT (-2.687891 50.809608)
319,Sustainable_Farming_Incentive_Scheme_Actions_England.639842,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,SAM1,5.8622,,,HA,2026,SFI23,POINT (-2.687891 50.809608)
320,Sustainable_Farming_Incentive_Scheme_Actions_England.639843,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,HRW1,,656,,Metres,2026,SFI23,POINT (-2.687891 50.809608)
321,Sustainable_Farming_Incentive_Scheme_Actions_England.639844,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,SAM1,4.5097,,,HA,2026,SFI23,POINT (-2.688043 50.808367)
322,Sustainable_Farming_Incentive_Scheme_Actions_England.639845,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,HRW1,,282,,Metres,2026,SFI23,POINT (-2.688043 50.808367)
323,Sustainable_Farming_Incentive_Scheme_Actions_England.639846,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,HRW2,,282,,Metres,2026,SFI23,POINT (-2.688043 50.808367)
324,Sustainable_Farming_Incentive_Scheme_Actions_England.639847,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,HRW3,,282,,Metres,2026,SFI23,POINT (-2.688043 50.808367)
325,Sustainable_Farming_Incentive_Scheme_Actions_England.639848,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,LIG1,4.5097,,,HA,2026,SFI23,POINT (-2.688043 50.808367)
326,Sustainable_Farming_Incentive_Scheme_Actions_England.639849,1706655,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,LIG1,0.8072,,,HA,2026,SFI23,POINT (-2.685957 50.81307)
327,Sustainable_Farming_Incentive_Scheme_Actions_England.639850,1706655,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,SAM1,0.8072,,,HA,2026,SFI23,POINT (-2.685957 50.81307)
328,Sustainable_Farming_Incentive_Scheme_Actions_England.639851,1706655,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,HRW3,,4,,Metres,2026,SFI23,POINT (-2.685912 50.814009)
329,Sustainable_Farming_Incentive_Scheme_Actions_England.639852,1706655,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,HRW1,,4,,Metres,2026,SFI23,POINT (-2.685912 50.814009)
330,Sustainable_Farming_Incentive_Scheme_Actions_England.639853,1706655,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,HRW2,,4,,Metres,2026,SFI23,POINT (-2.685912 50.814009)
331,Sustainable_Farming_Incentive_Scheme_Actions_England.639854,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,SAM1,2.2961,,,HA,2026,SFI23,POINT (-2.685642 50.807419)
332,Sustainable_Farming_Incentive_Scheme_Actions_England.639855,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,HRW1,,351,,Metres,2026,SFI23,POINT (-2.685642 50.807419)
333,Sustainable_Farming_Incentive_Scheme_Actions_England.639856,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,HRW3,,177,,Metres,2026,SFI23,POINT (-2.685642 50.807419)
334,Sustainable_Farming_Incentive_Scheme_Actions_England.639857,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,HRW2,,351,,Metres,2026,SFI23,POINT (-2.685642 50.807419)
335,Sustainable_Farming_Incentive_Scheme_Actions_England.639858,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,SAM1,0.6864,,,HA,2026,SFI23,POINT (-2.684309 50.806876)
336,Sustainable_Farming_Incentive_Scheme_Actions_England.639859,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,HRW2,,240,,Metres,2026,SFI23,POINT (-2.684309 50.806876)
337,Sustainable_Farming_Incentive_Scheme_Actions_England.639860,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,HRW3,,30,,Metres,2026,SFI23,POINT (-2.684309 50.806876)
338,Sustainable_Farming_Incentive_Scheme_Actions_England.639861,1714057,2024,2024-04-01 01:00:00+01,2027-03-31 01:00:00+01,SFI 23,SFI Actions,HRW1,,240,,Metres,2026,SFI23,POINT (-2.684309 50.806876)
