notation,description,broader
AB1,Nectar Flower Mix,AB
AB2,Basic Overwinter stubble,AB
AB3,Beetle banks,AB
AB4,Skylark Plots,AB
AB5,Nesting Plots for Lapwing,AB
AB6,Enhanced overwinter stubble,AB
AB7,Wholecrop cereals,AB
AB8,Flower rich margins and plots,AB
AB9,Winter bird food,AB
AB10,Unharvested cereal headland,AB
AB11,Cultivated areas for arable plants,AB
AB12,Supplementary winter feeding for farmland birds,AB
AB13,Brassica fodder crop,AB
AB14,Harvested low input cereal,AB
AB15,Two year sown legume fallow,AB
AB16,Autumn Sown BumbleBird Mix,AB
AC1,Access Capital Items,AC
AC2,Countryside Educational Visits Accreditation Scheme (CEVAS),AC
AF1,Plant an agro-forestry woodland tree,AF
AF2,Plant an agro-forestry fruit tree,AF
AF3,Supplement: Species Diversity Bonus,AF
AGF1,Maintain very low density in-field agroforestry on less sensitive land,AGF
AGF2,Maintain low density (20-50 trees per ha) in field agroforestry,AGF
AGF2,Maintain low density in-field agroforestry on less sensitive land,AGF
AHL1,Pollen and nectar flower mix,AHL
AHL2,Winter bird food on arable and horticultural land,AHL
AHL3,Grassy field corners or blocks,AHL
AHL4,4m to 12m grass buffer strip on arable and horticultural land,AHL
AHW1,Bumblebird mix,AHW
AHW2,Supplementary winter bird food,AHW
AHW3,Beetle banks,AHW
AHW4,Skylark plots,AHW
AHW5,Nesting plots for lapwing,AHW
AHW6,Basic overwinter stubble,AHW
AHW7,Enhanced overwinter stubble,AHW
AHW8,Harvest whole crop spring cereals and maintain overwinter stubble,AHW
AHW9,Unharvested cereal headland,AHW
AHW10,Low input harvested cereal crop,AHW
AHW11,Cultivated areas for arable plants,AHW
AHW12,Manage woodland edges on arable land,AHW
AL1A,Arable and Horticultural Land,AL
AL1B,Additional Payment,AL
AL2A,Arable and Horticultural Land,AL
AL3A,Arable and Horticultural Land,AL
AL3B,Additional Payment,AL
APO,Additional Parcel Option,APO
AQ1,Automatic slurry scraper,AQ
AQ2,Low ammonia emission flooring for livestock buildings,AQ
BC4,Tree guard (wood post and wire),BC
BE1,Protection of in-field trees on arable land,BE
BE2,Protection of in-field trees on intensive grassland,BE
BE3,Management of hedgerows,BE
BE4,Management of traditional orchards,BE
